#
#################################################################
#								#
#								#
# This table was constructed from GENIE3's gxspl-FNALbig.xml    #
#               Date: aug/2018					#
#								#
#	      the units are 10^-38 cm^2				#
#								#
#################################################################
#
#
-2.745 1.271e-16 1.271e-16 1.271e-16 1.182e-16 1.182e-16 1.182e-16
-1.284 0.7048 0.7064 0.7064 0.5505 0.5519 0.5519
-0.9901 1.719 1.72 1.72 1.088 1.089 1.089
-0.8167 2.774 2.775 2.775 1.477 1.479 1.479
-0.6929 3.671 3.673 3.673 1.713 1.714 1.714
-0.5969 4.328 4.328 4.328 1.834 1.836 1.836
-0.5181 4.748 4.751 4.751 1.887 1.889 1.889
-0.4516 5.016 5.016 5.016 1.917 1.918 1.918
-0.3939 5.224 5.227 5.227 1.95 1.951 1.951
-0.3429 5.407 5.407 5.407 1.987 1.988 1.988
-0.2974 5.563 5.565 5.565 2.023 2.025 2.025
-0.2561 5.688 5.69 5.69 2.058 2.06 2.06
-0.2185 5.78 5.781 5.781 2.089 2.09 2.09
-0.1838 5.839 5.841 5.841 2.116 2.116 2.116
-0.1517 5.869 5.871 5.871 2.14 2.141 2.141
-0.1218 5.878 5.879 5.879 2.162 2.163 2.163
-0.09383 5.871 5.873 5.873 2.184 2.186 2.186
-0.06758 5.856 5.857 5.857 2.205 2.207 2.207
-0.04278 5.833 5.835 5.835 2.226 2.227 2.227
-0.01936 5.807 5.809 5.809 2.246 2.247 2.247
0.003029 5.778 5.78 5.78 2.264 2.265 2.265
0.02407 5.752 5.754 5.754 2.284 2.285 2.285
0.04415 5.726 5.728 5.728 2.303 2.304 2.304
0.06333 5.7 5.701 5.701 2.321 2.322 2.322
0.08207 5.668 5.67 5.67 2.335 2.337 2.337
0.09968 5.641 5.642 5.642 2.351 2.352 2.352
0.1166 5.612 5.614 5.614 2.366 2.367 2.367
0.1329 5.585 5.586 5.586 2.38 2.381 2.381
0.1489 5.554 5.555 5.555 2.391 2.392 2.392
0.1641 5.527 5.528 5.528 2.402 2.404 2.404
0.1787 5.5 5.502 5.502 2.413 2.414 2.414
0.1928 5.475 5.476 5.476 2.423 2.424 2.424
0.2068 5.446 5.447 5.447 2.43 2.432 2.432
0.2201 5.421 5.423 5.423 2.438 2.439 2.439
0.233 5.397 5.399 5.399 2.445 2.446 2.446
0.2455 5.374 5.375 5.375 2.451 2.452 2.452
0.2579 5.348 5.35 5.35 2.456 2.457 2.457
0.2697 5.327 5.328 5.328 2.461 2.462 2.462
0.2813 5.306 5.306 5.306 2.465 2.467 2.467
0.2925 5.288 5.288 5.288 2.47 2.471 2.471
0.3034 5.266 5.266 5.266 2.473 2.474 2.474
0.3143 5.242 5.247 5.247 2.474 2.476 2.476
0.3247 5.223 5.227 5.227 2.477 2.478 2.478
0.3349 5.208 5.208 5.208 2.479 2.48 2.48
0.3448 5.19 5.19 5.19 2.48 2.481 2.481
0.3547 5.17 5.17 5.17 2.48 2.482 2.482
0.3642 5.153 5.153 5.153 2.482 2.483 2.483
0.3735 5.138 5.138 5.138 2.482 2.484 2.484
0.3826 5.118 5.122 5.122 2.483 2.484 2.484
0.3916 5.101 5.106 5.106 2.482 2.484 2.484
0.4004 5.088 5.088 5.088 2.482 2.484 2.484
0.4089 5.074 5.074 5.074 2.482 2.484 2.484
0.4173 5.057 5.061 5.061 2.482 2.484 2.484
0.4257 5.043 5.043 5.043 2.481 2.482 2.482
0.4338 5.028 5.028 5.028 2.48 2.481 2.481
0.4417 5.013 5.016 5.016 2.48 2.481 2.481
0.4495 5.002 5.002 5.002 2.479 2.48 2.48
0.4573 4.986 4.99 4.99 2.477 2.478 2.478
0.4648 4.973 4.976 4.976 2.476 2.477 2.477
0.4722 4.963 4.963 4.963 2.474 2.476 2.476
0.4794 4.95 4.95 4.95 2.473 2.474 2.474
0.4867 4.936 4.936 4.936 2.471 2.472 2.472
0.4937 4.925 4.925 4.925 2.47 2.471 2.471
0.5006 4.913 4.913 4.913 2.468 2.47 2.47
0.5075 4.902 4.902 4.902 2.467 2.468 2.468
0.5143 4.89 4.89 4.89 2.465 2.466 2.466
0.5209 4.879 4.879 4.879 2.463 2.464 2.464
0.5274 4.869 4.869 4.869 2.461 2.463 2.463
0.5338 4.86 4.86 4.86 2.46 2.461 2.461
0.5402 4.846 4.849 4.849 2.457 2.459 2.459
0.5464 4.837 4.839 4.839 2.456 2.457 2.457
0.5525 4.828 4.828 4.828 2.454 2.456 2.456
0.5586 4.819 4.819 4.819 2.453 2.454 2.454
0.5645 4.808 4.811 4.811 2.451 2.452 2.452
0.5705 4.798 4.798 4.798 2.448 2.45 2.45
0.5763 4.79 4.79 4.79 2.446 2.448 2.448
0.5821 4.78 4.783 4.783 2.445 2.446 2.446
0.5877 4.773 4.773 4.773 2.443 2.444 2.444
0.5934 4.762 4.764 4.764 2.44 2.442 2.442
0.5989 4.754 4.754 4.754 2.439 2.44 2.44
0.6043 4.745 4.748 4.748 2.437 2.438 2.438
0.6097 4.736 4.738 4.738 2.435 2.436 2.436
0.6151 4.728 4.728 4.728 2.433 2.433 2.433
0.6203 4.72 4.722 4.722 2.43 2.433 2.433
0.6255 4.713 4.713 4.713 2.43 2.43 2.43
0.6306 4.705 4.707 4.707 2.427 2.427 2.427
0.6358 4.696 4.698 4.698 2.424 2.427 2.427
0.6408 4.69 4.69 4.69 2.424 2.424 2.424
0.6457 4.682 4.685 4.685 2.421 2.424 2.424
0.6506 4.675 4.677 4.677 2.419 2.421 2.421
0.6555 4.668 4.671 4.671 2.418 2.418 2.418
0.6603 4.661 4.663 4.663 2.416 2.416 2.416
0.665 4.654 4.656 4.656 2.413 2.416 2.416
0.6697 4.649 4.649 4.649 2.411 2.413 2.413
0.6744 4.641 4.643 4.643 2.411 2.411 2.411
0.679 4.635 4.637 4.637 2.408 2.41 2.41
0.6835 4.628 4.63 4.63 2.406 2.408 2.408
0.688 4.622 4.624 4.624 2.404 2.406 2.406
0.6925 4.614 4.616 4.616 2.402 2.404 2.404
0.6969 4.608 4.61 4.61 2.402 2.402 2.402
0.7012 4.604 4.604 4.604 2.4 2.4 2.4
0.7055 4.598 4.598 4.598 2.398 2.4 2.4
0.7099 4.591 4.591 4.591 2.395 2.397 2.397
0.7141 4.586 4.588 4.588 2.393 2.395 2.395
0.7183 4.58 4.582 4.582 2.391 2.393 2.393
0.7224 4.575 4.576 4.576 2.39 2.392 2.392
0.7265 4.569 4.571 4.571 2.388 2.39 2.39
0.7306 4.563 4.565 4.565 2.386 2.388 2.388
0.7346 4.558 4.56 4.56 2.386 2.386 2.386
0.7386 4.553 4.555 4.555 2.384 2.384 2.384
0.7426 4.548 4.55 4.55 2.382 2.382 2.382
0.7466 4.542 4.544 4.544 2.38 2.38 2.38
0.7504 4.537 4.539 4.539 2.379 2.379 2.379
0.7543 4.532 4.534 4.534 2.377 2.377 2.377
0.7581 4.528 4.53 4.53 2.376 2.377 2.377
0.7619 4.522 4.524 4.524 2.374 2.375 2.375
0.7657 4.518 4.518 4.518 2.372 2.374 2.374
0.7694 4.512 4.514 4.514 2.371 2.372 2.372
0.7731 4.508 4.509 4.509 2.369 2.371 2.371
0.7768 4.503 4.504 4.504 2.367 2.367 2.367
0.7804 4.498 4.5 4.5 2.366 2.366 2.366
0.784 4.494 4.496 4.496 2.365 2.365 2.365
0.7875 4.49 4.492 4.492 2.363 2.363 2.363
0.7911 4.486 4.487 4.487 2.36 2.362 2.362
0.7946 4.482 4.483 4.483 2.359 2.36 2.36
0.7981 4.476 4.478 4.478 2.358 2.359 2.359
0.8015 4.473 4.474 4.474 2.356 2.358 2.358
0.805 4.468 4.47 4.47 2.355 2.356 2.356
0.8084 4.464 4.466 4.466 2.353 2.355 2.355
0.8118 4.461 4.462 4.462 2.352 2.354 2.354
0.8151 4.457 4.459 4.459 2.351 2.353 2.353
0.8185 4.452 4.453 4.453 2.35 2.351 2.351
0.8218 4.448 4.45 4.45 2.349 2.349 2.349
0.825 4.445 4.446 4.446 2.346 2.347 2.347
0.8283 4.442 4.443 4.443 2.345 2.346 2.346
0.8315 4.437 4.438 4.438 2.344 2.345 2.345
0.8347 4.433 4.435 4.435 2.342 2.344 2.344
0.8379 4.43 4.431 4.431 2.341 2.343 2.343
0.841 4.427 4.428 4.428 2.34 2.342 2.342
0.8442 4.422 4.424 4.424 2.338 2.339 2.339
0.8473 4.419 4.42 4.42 2.337 2.338 2.338
0.8504 4.416 4.417 4.417 2.336 2.337 2.337
0.8535 4.413 4.414 4.414 2.335 2.336 2.336
0.8565 4.409 4.41 4.41 2.334 2.335 2.335
0.8596 4.405 4.407 4.407 2.332 2.332 2.332
0.8625 4.402 4.404 4.404 2.33 2.332 2.332
0.8655 4.398 4.401 4.401 2.329 2.331 2.331
0.8685 4.396 4.397 4.397 2.328 2.33 2.33
0.8715 4.392 4.394 4.394 2.327 2.329 2.329
0.8744 4.39 4.391 4.391 2.325 2.326 2.326
0.8773 4.386 4.387 4.387 2.324 2.326 2.326
0.8801 4.383 4.385 4.385 2.323 2.325 2.325
0.883 4.38 4.381 4.381 2.322 2.324 2.324
0.8859 4.376 4.378 4.378 2.321 2.323 2.323
0.8887 4.374 4.375 4.375 2.319 2.321 2.321
0.8915 4.37 4.373 4.373 2.319 2.32 2.32
0.8943 4.367 4.369 4.369 2.318 2.319 2.319
0.8971 4.365 4.366 4.366 2.316 2.318 2.318
0.8998 4.361 4.363 4.363 2.315 2.316 2.316
0.9025 4.359 4.36 4.36 2.314 2.315 2.315
0.9053 4.355 4.358 4.358 2.313 2.314 2.314
0.908 4.353 4.354 4.354 2.311 2.312 2.312
0.9107 4.35 4.352 4.352 2.311 2.312 2.312
0.9133 4.347 4.349 4.349 2.31 2.311 2.311
0.916 4.345 4.346 4.346 2.309 2.31 2.31
0.9187 4.342 4.344 4.344 2.307 2.308 2.308
0.9213 4.339 4.341 4.341 2.306 2.308 2.308
0.9239 4.336 4.339 4.339 2.306 2.307 2.307
0.9264 4.334 4.335 4.335 2.304 2.306 2.306
0.9291 4.332 4.333 4.333 2.303 2.304 2.304
0.9316 4.329 4.331 4.331 2.302 2.304 2.304
0.9341 4.327 4.328 4.328 2.302 2.303 2.303
0.9367 4.324 4.326 4.326 2.3 2.301 2.301
0.9392 4.321 4.323 4.323 2.299 2.3 2.3
0.9417 4.32 4.321 4.321 2.299 2.3 2.3
0.9442 4.317 4.319 4.319 2.297 2.298 2.298
0.9466 4.315 4.316 4.316 2.296 2.298 2.298
0.9491 4.311 4.314 4.314 2.296 2.297 2.297
0.9516 4.31 4.311 4.311 2.294 2.295 2.295
0.954 4.307 4.309 4.309 2.293 2.295 2.295
0.9564 4.305 4.306 4.306 2.293 2.294 2.294
0.9589 4.303 4.304 4.304 2.291 2.293 2.293
0.9612 4.3 4.302 4.302 2.291 2.292 2.292
0.9636 4.299 4.3 4.3 2.29 2.291 2.291
0.966 4.296 4.298 4.298 2.289 2.291 2.291
0.9683 4.294 4.295 4.295 2.288 2.289 2.289
0.9707 4.291 4.293 4.293 2.287 2.288 2.288
0.973 4.29 4.291 4.291 2.286 2.287 2.287
0.9753 4.287 4.289 4.289 2.285 2.286 2.286
0.9776 4.285 4.286 4.286 2.285 2.286 2.286
0.9799 4.283 4.285 4.285 2.283 2.284 2.284
0.9822 4.281 4.282 4.282 2.283 2.284 2.284
0.9844 4.279 4.281 4.281 2.281 2.283 2.283
0.9867 4.277 4.278 4.278 2.281 2.282 2.282
0.989 4.274 4.276 4.276 2.28 2.281 2.281
0.9912 4.273 4.274 4.274 2.279 2.281 2.281
0.9934 4.27 4.273 4.273 2.278 2.279 2.279
0.9956 4.269 4.27 4.27 2.278 2.279 2.279
0.9978 4.266 4.268 4.268 2.276 2.278 2.278
1 4.265 4.266 4.266 2.276 2.277 2.277
