0.202662134058	3.29545442174794	0	0	0	0	0
0.578371683572	7.98509578903708	0	0	0	0	0
0.988742926259	11.7940031053192	0	0	0	0	0
1.41663355194	14.9932494102288	0	0	0	0	0
1.80878927721	17.9502979326812	0	0	0	0	0
2.20062594087	18.2215920463588	0	0	0	0	0
2.59228857092	16.904916475219	0	0	0	0	0
2.98383517857	14.7700208196893	0	0	0	0	0
3.37503371901	10.7788713851795	0	0	0	0	0
3.78412871525	8.22828728259396	0	0	0	0	0
4.1755593005	6.77047116048974	0	0	0	0	0
4.60284080856	6.28124310840897	0	0	0	0	0
4.99444542741	5.6551352582475	0	0	0	0	0
5.38628209107	5.74060486512349	0	0	0	0	0
5.77800273233	5.48799466841557	0	0	0	0	0
6.18753281259	5.24650035808386	0	0	0	0	0
6.61487233185	5.01563278948746	0	0	0	0	0
6.9887255229	4.65320775267866	0	0	0	0	0
7.41612305336	4.58392797350233	0	0	0	0	0
7.78997624441	4.25269753175079	0	0	0	0	0
8.21731576367	4.0655613700962	0	0	0	0	0
8.60894938813	3.71563096314291	0	0	0	0	0
8.98283158478	3.49924170172237	0	0	0	0	0
9.39230365384	3.2463896976427	0	0	0	0	0
9.80177572289	3.01180854805577	0	0	0	0	0
10.1933223305	2.63145192260631	0	0	0	0	0
10.584810927	2.23117791231529	0	0	0	0	0
10.9942539904	2.03913629155281	0	0	0	0	0
11.4036680483	1.83587728411084	0	0	0	0	0
11.7951276391	1.53344340638767	0	0	0	0	0
12.1866162356	1.30018908144405	0	0	0	0	0
12.5961463159	1.24297542062878	0	0	0	0	0
13.0053283289	0.992527779714339	0	0	0	0	0
13.4148584092	0.948852480060883	0	0	0	0	0
13.8064050168	0.829023373528495	0	0	0	0	0
14.1980386413	0.757667794296201	0	0	0	0	0
14.6074236935	0.67198807085444	0	0	0	0	0
14.9986512396	0.497815487641506	0	0	0	0	0
15.4085873982	0.587123740705232	0	0	0	0	0
15.7999889779	0.475909561137548	0	0	0	0	0
16.1917096191	0.454967585391313	0	0	0	0	0
16.600833621	0.352558565436591	0	0	0	0	0
16.9925832678	0.342138505811769	0	0	0	0	0
17.3841588811	0.303448287253079	0	0	0	0	0
17.8108022659	0.202389941598625	0	0	0	0	0
18.1847714794	0.199376637399762	0	0	0	0	0
18.611646909	0.149932494102979	0	0	0	0	0
18.9681837563	0.179502979325986	0	0	0	0	0
19.4128686249	0.134987377359051	0	0	0	0	0
19.8050243502	0.161610307040636	0	0	0	0	0
